CIVILSTAND;TID;ALDER;INDHOLD
Ugift;2020K1;82 år;1175
Ugift;2020K1;83 år;1022
Ugift;2020K1;84 år;919
Ugift;2020K1;85 år;771
Ugift;2020K1;86 år;693
Ugift;2020K1;87 år;602
Ugift;2020K1;88 år;545
Ugift;2020K1;89 år;490
Ugift;2020K1;90 år;391
Ugift;2020K1;91 år;340
Ugift;2020K1;92 år;268
Ugift;2020K1;93 år;213
Ugift;2020K1;94 år;187
Ugift;2020K1;95 år;142
Ugift;2020K1;96 år;90
Ugift;2020K1;97 år;63
Ugift;2020K1;98 år;66
Ugift;2020K1;99 år;41
Ugift;2020K1;100 år;12
Ugift;2020K1;101 år;13
Ugift;2020K1;102 år;8
Ugift;2020K1;103 år;4
Ugift;2020K1;104 år;3
Ugift;2020K1;105 år;2
Ugift;2020K1;106 år;0
Ugift;2020K1;107 år;1
Ugift;2020K1;108 år;0
Ugift;2020K1;109 år;0
Ugift;2020K1;110 år;0
Ugift;2020K1;111 år;0
Ugift;2020K1;112 år;0
Ugift;2020K1;113 år;0
Ugift;2020K1;114 år;0
Ugift;2020K1;115 år;0
Ugift;2020K1;116 år;0
Ugift;2020K1;117 år;0
Ugift;2020K1;118 år;0
Ugift;2020K1;119 år;0
Ugift;2020K1;120 år;0
Ugift;2020K1;121 år;0
Ugift;2020K1;122 år;0
Ugift;2020K1;123 år;0
Ugift;2020K1;124 år;0
Ugift;2020K1;125 år;0
Gift/separeret;2020K1;I alt;2146017
Gift/separeret;2020K1;0 år;0
Gift/separeret;2020K1;1 år;0
Gift/separeret;2020K1;2 år;0
Gift/separeret;2020K1;3 år;0
Gift/separeret;2020K1;4 år;0
Gift/separeret;2020K1;5 år;0
Gift/separeret;2020K1;6 år;0
Gift/separeret;2020K1;7 år;0
Gift/separeret;2020K1;8 år;0
Gift/separeret;2020K1;9 år;0
Gift/separeret;2020K1;10 år;0
Gift/separeret;2020K1;11 år;0
Gift/separeret;2020K1;12 år;0
Gift/separeret;2020K1;13 år;0
Gift/separeret;2020K1;14 år;0
Gift/separeret;2020K1;15 år;0
Gift/separeret;2020K1;16 år;0
Gift/separeret;2020K1;17 år;0
Gift/separeret;2020K1;18 år;22
Gift/separeret;2020K1;19 år;115
Gift/separeret;2020K1;20 år;281
Gift/separeret;2020K1;21 år;664
Gift/separeret;2020K1;22 år;1258
Gift/separeret;2020K1;23 år;2114
Gift/separeret;2020K1;24 år;3646
Gift/separeret;2020K1;25 år;5721
Gift/separeret;2020K1;26 år;8353
Gift/separeret;2020K1;27 år;11834
Gift/separeret;2020K1;28 år;14949
Gift/separeret;2020K1;29 år;18836
Gift/separeret;2020K1;30 år;22174
Gift/separeret;2020K1;31 år;25138
Gift/separeret;2020K1;32 år;27131
Gift/separeret;2020K1;33 år;28994
Gift/separeret;2020K1;34 år;30281
Gift/separeret;2020K1;35 år;30981
Gift/separeret;2020K1;36 år;31663
Gift/separeret;2020K1;37 år;33571
Gift/separeret;2020K1;38 år;34543
Gift/separeret;2020K1;39 år;37175
Gift/separeret;2020K1;40 år;38605
Gift/separeret;2020K1;41 år;39838
Gift/separeret;2020K1;42 år;40059
Gift/separeret;2020K1;43 år;41543
Gift/separeret;2020K1;44 år;45030
Gift/separeret;2020K1;45 år;44617
Gift/separeret;2020K1;46 år;44018
Gift/separeret;2020K1;47 år;46264
Gift/separeret;2020K1;48 år;45846
Gift/separeret;2020K1;49 år;43787
Gift/separeret;2020K1;50 år;43754
Gift/separeret;2020K1;51 år;45259
Gift/separeret;2020K1;52 år;48008
Gift/separeret;2020K1;53 år;51658
Gift/separeret;2020K1;54 år;50227
Gift/separeret;2020K1;55 år;49022
Gift/separeret;2020K1;56 år;48175
Gift/separeret;2020K1;57 år;45683
Gift/separeret;2020K1;58 år;44732
Gift/separeret;2020K1;59 år;44628
Gift/separeret;2020K1;60 år;43270
Gift/separeret;2020K1;61 år;43537
Gift/separeret;2020K1;62 år;43164
Gift/separeret;2020K1;63 år;43623
Gift/separeret;2020K1;64 år;42642
Gift/separeret;2020K1;65 år;41649
Gift/separeret;2020K1;66 år;42260
Gift/separeret;2020K1;67 år;41108
Gift/separeret;2020K1;68 år;40152
Gift/separeret;2020K1;69 år;40767
Gift/separeret;2020K1;70 år;40217
Gift/separeret;2020K1;71 år;41737
Gift/separeret;2020K1;72 år;43342
Gift/separeret;2020K1;73 år;43481
Gift/separeret;2020K1;74 år;40477
Gift/separeret;2020K1;75 år;36323
Gift/separeret;2020K1;76 år;31631
Gift/separeret;2020K1;77 år;28282
Gift/separeret;2020K1;78 år;23509
Gift/separeret;2020K1;79 år;21114
Gift/separeret;2020K1;80 år;18436
Gift/separeret;2020K1;81 år;16566
Gift/separeret;2020K1;82 år;14135
Gift/separeret;2020K1;83 år;11892
Gift/separeret;2020K1;84 år;9559
Gift/separeret;2020K1;85 år;7791
Gift/separeret;2020K1;86 år;6301
Gift/separeret;2020K1;87 år;4885
Gift/separeret;2020K1;88 år;3897
Gift/separeret;2020K1;89 år;2934
Gift/separeret;2020K1;90 år;2198
Gift/separeret;2020K1;91 år;1689
Gift/separeret;2020K1;92 år;1174
Gift/separeret;2020K1;93 år;837
Gift/separeret;2020K1;94 år;527
Gift/separeret;2020K1;95 år;303
Gift/separeret;2020K1;96 år;171
Gift/separeret;2020K1;97 år;110
Gift/separeret;2020K1;98 år;51
Gift/separeret;2020K1;99 år;40
Gift/separeret;2020K1;100 år;18
Gift/separeret;2020K1;101 år;13
Gift/separeret;2020K1;102 år;4
Gift/separeret;2020K1;103 år;3
Gift/separeret;2020K1;104 år;0
Gift/separeret;2020K1;105 år;0
Gift/separeret;2020K1;106 år;1
Gift/separeret;2020K1;107 år;0
Gift/separeret;2020K1;108 år;0
Gift/separeret;2020K1;109 år;0
Gift/separeret;2020K1;110 år;0
Gift/separeret;2020K1;111 år;0
Gift/separeret;2020K1;112 år;0
Gift/separeret;2020K1;113 år;0
Gift/separeret;2020K1;114 år;0
Gift/separeret;2020K1;115 år;0
Gift/separeret;2020K1;116 år;0
Gift/separeret;2020K1;117 år;0
Gift/separeret;2020K1;118 år;0
Gift/separeret;2020K1;119 år;0
Gift/separeret;2020K1;120 år;0
Gift/separeret;2020K1;121 år;0
Gift/separeret;2020K1;122 år;0
Gift/separeret;2020K1;123 år;0
Gift/separeret;2020K1;124 år;0
Gift/separeret;2020K1;125 år;0
